episode,steps,completed,completion_steps,termination_reason,progress_percent,avg_lateral,std_lateral,max_lateral,avg_course,std_course,max_course,avg_tilt,std_tilt,max_tilt,avg_velocity,avg_action_change,reward
142,1918,0,0,heading_error,82.73,0.393688,0.706633,4.599990,0.129468,0.136479,0.688349,0.047099,0.035704,0.154304,3.82,0.093568,25273.04
143,1905,0,0,heading_error,82.64,0.253220,0.281844,2.305447,0.113023,0.108959,0.572930,0.044477,0.035937,0.153023,3.82,0.085023,28550.60
144,1906,0,0,heading_error,82.59,0.262137,0.295873,2.385823,0.121071,0.112618,0.578379,0.045950,0.037210,0.153344,3.82,0.091052,27558.27
145,1902,0,0,heading_error,82.59,0.248752,0.285185,2.174930,0.108063,0.114667,0.564606,0.041065,0.038729,0.156831,3.82,0.084275,29549.30
146,1906,0,0,heading_error,82.59,0.284767,0.359073,3.691831,0.124202,0.125274,0.557613,0.044379,0.039541,0.159977,3.82,0.093456,27031.08
147,1912,0,0,heading_error,82.60,0.363148,0.584438,3.801509,0.139839,0.140984,0.652581,0.046704,0.040052,0.165457,3.81,0.097409,24168.99
148,1901,0,0,heading_error,82.50,0.243255,0.313107,2.357780,0.108173,0.122187,0.559961,0.041027,0.040388,0.160076,3.82,0.082188,29418.96
149,1901,0,0,heading_error,82.55,0.256554,0.316988,2.296627,0.113346,0.120681,1.570000,0.042183,0.038005,0.151383,3.82,0.082647,28315.98
150,1,0,0,heading_error,11.24,1.090387,0.000000,1.090387,0.001993,0.000000,0.001993,0.000280,0.000000,0.000280,0.06,0.000000,-592.28
151,1903,0,0,heading_error,82.52,0.284347,0.324960,2.355787,0.123276,0.116023,0.533622,0.045306,0.038419,0.150776,3.82,0.087116,26048.57
152,1904,0,0,heading_error,82.59,0.294629,0.328083,2.212687,0.123935,0.121568,0.545725,0.045559,0.039995,0.158537,3.82,0.093736,25595.37
153,1907,0,0,heading_error,82.58,0.340141,0.394906,2.396125,0.134562,0.126581,0.552323,0.048302,0.040221,0.160365,3.82,0.103771,23014.56
154,1906,0,0,heading_error,82.74,0.337906,0.381532,2.177472,0.135926,0.128474,0.548279,0.049103,0.040874,0.169341,3.81,0.105815,23155.59
155,1516,0,0,tilt_error,82.57,0.319277,0.353030,2.488795,0.113265,0.121629,0.531713,0.046525,0.045103,0.366560,3.81,0.089778,19871.16
156,1506,0,0,tilt_error,82.68,0.345882,0.388917,2.498707,0.124997,0.120279,0.537074,0.048507,0.041529,0.363809,3.81,0.094698,18089.32
157,1515,0,0,tilt_error,82.54,0.298401,0.337860,2.499227,0.110636,0.118051,0.521899,0.045061,0.044956,0.368031,3.81,0.083429,20930.87
158,1910,0,0,heading_error,82.62,0.300795,0.343100,2.413007,0.113063,0.105592,0.510609,0.044912,0.036295,0.143892,3.82,0.092708,25486.11
