#{"t_start": 1772158297.3285942, "env_id": "None"}
r,l,t
30207.852003,1899,5993.712823
29873.035124,1907,6015.351084
31429.984854,1897,6036.912093
30004.733991,1899,6058.602051
29866.361286,1900,6080.30922
30427.469538,1897,6101.756575
-592.359322,1,6101.787081
-592.384982,1,6101.807193
30543.216589,1897,6123.468766
31061.37939,1896,6144.939175
-592.28388,1,6144.962382
29394.381947,1896,6166.383261
-592.377758,1,6166.417408
31814.171473,1898,6187.86532
-514.495715,11,6188.010215
29852.086507,1901,6208.730315
30424.157383,1899,6229.554041
31097.116266,1899,6250.692617
30233.034797,1900,6271.924753
30782.459037,1899,6293.292066
31076.572972,1899,6314.80354
30298.629539,1905,6336.327374
-592.35945,1,6336.358573
30676.656128,1899,6357.997261
31096.825416,1898,6379.450141
31598.513957,1897,6401.207189
-592.099788,1,6401.231397
30185.738607,1904,6422.854238
30335.398921,1901,6444.220414
31375.780671,1897,6465.781944
-592.082076,1,6465.811548
31623.90585,1897,6487.378926
30142.976893,1900,6508.99043
32049.296869,1896,6530.519558
30528.884746,1898,6551.412145
31898.966088,1898,6572.425736
32867.004697,1896,6593.549003
32529.759127,1897,6614.842918
30875.920457,1900,6636.31041
30462.363836,1898,6657.818132
-592.309886,1,6657.877213
31432.366411,1897,6679.241845
31483.673562,1897,6700.816797
32206.682076,1897,6722.445565
-591.906046,1,6722.500256
30384.8677,1904,6743.995457
-591.981189,1,6744.025802
31403.453643,1898,6765.427306
-592.367193,1,6765.482625
-592.506078,1,6765.512061
31006.698238,1898,6787.17924
30229.644754,1899,6808.688744
31105.863944,1898,6830.272809
32649.362944,1896,6851.830558
30893.029319,1899,6873.235072
30070.270397,1909,6894.143361
30666.57973,1899,6915.212004
30313.547099,1898,6936.428805
31506.256827,1898,6957.940279
31111.59485,1899,6979.387477
-592.013008,1,6979.419506
32465.782401,1898,7000.71813
29318.945276,1901,7022.072242
30559.532185,1899,7043.568191
-592.305709,1,7043.591111
29932.410994,1902,7065.16012
29731.955645,1901,7086.712685
-591.939884,1,7086.738119
31870.484049,1898,7108.157981
30282.164445,1902,7129.723561
30168.516368,1901,7151.237983
29014.632605,1908,7172.952504
-592.137648,1,7172.974999
-592.200058,1,7173.002003
30051.255254,1902,7194.554317
32298.269832,1899,7216.089738
31017.158668,1899,7236.968588
-591.963205,1,7236.990566
30373.149857,1902,7258.298601
30305.177325,1902,7279.447928
30622.784753,1901,7300.654384
30601.323803,1902,7322.020893
-592.367242,1,7322.043035
31957.020818,1900,7343.446419
30228.442652,1907,7365.00368
29574.628472,1913,7386.736993
29284.988098,1910,7408.487506
30189.062703,1905,7430.20285
30609.792583,1903,7451.800479
29540.578163,1914,7473.598677
29504.675616,1907,7495.187875
31175.778575,1901,7516.903396
30469.511159,1900,7538.42269
31138.041057,1901,7560.126678
29145.938459,1905,7581.100084
29911.921019,1902,7602.057371
-592.273798,1,7602.088338
31850.11104,1899,7623.117592
29106.298936,1909,7644.576558
29324.102677,1914,7665.905795
29457.891837,1903,7687.42824
-592.290491,1,7687.464467
29541.296408,1908,7709.152844
-592.307983,1,7709.179132
29629.659126,1901,7730.523791
31096.861335,1898,7752.022291
29656.312848,1902,7773.604228
30413.876295,1902,7795.213978
32164.431385,1897,7816.838712
30382.965459,1899,7838.423114
30419.692804,1899,7860.024389
-592.405803,1,7860.055519
30534.778104,1898,7881.580393
28963.179855,1910,7903.538736
30468.889237,1902,7924.760103
30856.202961,1897,7945.463247
-592.029088,1,7945.49499
