episode,steps,completed,completion_steps,termination_reason,progress_percent,avg_lateral,std_lateral,max_lateral,avg_course,std_course,max_course,avg_tilt,std_tilt,max_tilt,avg_velocity,avg_action_change,reward
129,1,0,0,heading_error,18.00,0.778663,0.000000,0.778663,1.570000,0.000000,1.570000,0.000433,0.000000,0.000433,0.06,0.000000,-592.01
130,1,0,0,heading_error,12.22,3.926289,0.000000,3.926289,0.001993,0.000000,0.001993,0.000418,0.000000,0.000418,0.06,0.000000,-592.20
131,52,0,0,tilt_error,-9.05,3.408431,0.743541,3.994466,0.233537,0.299064,1.570000,0.136322,0.097367,0.356753,2.67,0.095096,-1340.18
132,1,0,0,heading_error,18.02,0.789019,0.000000,0.789019,0.001993,0.000000,0.001993,0.002137,0.000000,0.002137,0.07,0.000000,-591.50
133,164,0,0,tilt_error,3.16,0.523538,0.286522,1.230681,0.186330,0.144004,0.511254,0.084406,0.071097,0.352963,3.47,0.076241,254.21
134,130,0,0,tilt_error,8.03,1.020435,0.699109,2.236426,0.245765,0.208033,0.671943,0.098898,0.079019,0.354331,3.37,0.087204,-1322.20
135,340,0,0,tilt_error,2.60,0.290641,0.269601,3.546576,0.136456,0.107256,0.490397,0.059245,0.056404,0.357213,3.67,0.071784,4186.97
136,50,0,0,tilt_error,-8.65,3.138870,0.631121,3.625562,0.163635,0.180686,0.640147,0.131179,0.097792,0.357023,2.69,0.077060,-1306.69
137,129,0,0,tilt_error,3.09,0.634983,0.252178,0.919227,0.236762,0.212095,1.570000,0.096716,0.076539,0.364210,3.35,0.084082,-465.60
138,1,0,0,heading_error,18.02,0.775760,0.000000,0.775760,0.001993,0.000000,0.001993,0.002139,0.000000,0.002139,0.07,0.000000,-589.03
139,165,0,0,tilt_error,3.10,0.444149,0.260678,0.800049,0.170366,0.125107,0.434383,0.082095,0.071594,0.349796,3.46,0.081118,722.88
140,745,0,0,tilt_error,53.38,0.315926,0.399598,2.159321,0.119171,0.143382,0.629281,0.033371,0.049287,0.349854,3.79,0.052678,9745.38
141,110,0,0,tilt_error,3.73,0.897688,0.457330,1.698948,0.253263,0.206875,0.621723,0.108779,0.082887,0.357271,3.25,0.084209,-1218.44
142,88,0,0,tilt_error,6.83,1.077539,0.553727,1.766051,0.249128,0.214067,0.628695,0.099643,0.084043,0.352355,3.18,0.075726,-1157.85
143,165,0,0,tilt_error,3.72,0.464909,0.306030,1.480527,0.164706,0.120130,0.414949,0.079443,0.071446,0.351606,3.47,0.069212,620.09
144,95,0,0,tilt_error,5.93,0.776135,0.547437,1.484195,0.187889,0.157508,0.465645,0.099745,0.089508,0.370774,3.20,0.074766,-604.03
145,740,0,0,tilt_error,52.60,0.289384,0.397193,2.278191,0.120115,0.138119,0.588885,0.033703,0.049795,0.366588,3.79,0.054855,9924.83
146,323,0,0,tilt_error,4.31,0.616495,0.720834,3.290409,0.236427,0.243330,1.026660,0.073591,0.060908,0.353208,3.64,0.077095,1105.55
147,132,0,0,tilt_error,2.19,0.512761,0.298596,2.688419,0.183835,0.139040,0.445848,0.088987,0.077319,0.354754,3.38,0.082928,152.48
148,155,0,0,tilt_error,3.60,1.273911,0.878364,2.776551,0.318215,0.216318,0.625961,0.096541,0.075735,0.372662,3.43,0.085376,-1773.37
149,170,0,0,tilt_error,4.48,0.636644,0.363588,1.119149,0.214140,0.186016,1.570000,0.084350,0.071304,0.359422,3.48,0.088655,-468.74
150,1,0,0,heading_error,13.00,3.458020,0.000000,3.458020,0.001993,0.000000,0.001993,0.002187,0.000000,0.002187,0.07,0.000000,-584.26
