episode,new_episode,steps,completed,completion_index,completion_steps,termination_reason,progress_percent,avg_lateral,std_lateral,max_lateral,avg_course,std_course,max_course,avg_tilt,std_tilt,max_tilt,avg_velocity,avg_action_change,reward
191,113,163,0,0,0,tilt_error,7.21,0.894188,0.601181,2.393133,0.242518,0.170484,0.578218,0.095183,0.068932,0.352972,3.46,0.09206,-1069.26
194,114,235,0,0,0,tilt_error,5.69,0.689554,0.514256,2.066588,0.226898,0.181362,0.743462,0.083399,0.065473,0.363597,3.56,0.088576,-567.24
200,115,352,0,0,0,tilt_error,11.12,0.637172,0.754864,3.022502,0.211979,0.181105,0.82894,0.074622,0.058618,0.355308,3.64,0.080812,1027.94
201,116,165,0,0,0,tilt_error,6.68,0.709671,0.586795,2.379643,0.194904,0.132083,0.448946,0.088449,0.068819,0.350449,3.45,0.084827,-274.71
203,117,699,0,0,0,tilt_error,45.86,0.294608,0.477741,3.07045,0.104653,0.133018,0.578549,0.033774,0.048954,0.367428,3.79,0.070463,10356.78
205,118,708,0,0,0,tilt_error,47.05,0.266598,0.457673,2.527494,0.095057,0.124754,0.587428,0.03354,0.051902,0.368245,3.79,0.062476,10937.63
210,119,704,0,0,0,tilt_error,46.68,0.301567,0.46695,2.246099,0.10801,0.130415,0.615485,0.034641,0.049139,0.360312,3.79,0.056236,10118.99
215,120,120,0,0,0,tilt_error,1.84,0.70503,0.386613,1.289692,0.23154,0.176947,0.495213,0.101371,0.076143,0.354365,3.33,0.096936,-711.38
216,121,269,0,0,0,tilt_error,3.02,0.400705,0.247001,1.553542,0.183858,0.12879,0.524709,0.075353,0.05996,0.352163,3.6,0.088722,1662.55
217,122,308,0,0,0,tilt_error,6.22,0.490517,0.444947,1.814305,0.176745,0.117366,0.443319,0.072708,0.057187,0.361999,3.62,0.080002,1398.81
218,123,163,0,0,0,tilt_error,7.26,0.848306,0.591418,1.819623,0.223537,0.171106,0.540372,0.092368,0.069508,0.355097,3.46,0.08952,-878.98
219,124,127,0,0,0,tilt_error,1.65,0.596849,0.411078,1.297437,0.218372,0.152527,0.488934,0.101247,0.078481,0.374602,3.32,0.088542,-235.79
220,125,199,0,0,0,tilt_error,2.91,0.513368,0.387346,2.830411,0.211013,0.134108,0.420546,0.08876,0.065914,0.363527,3.49,0.091719,320.43
225,126,703,0,0,0,tilt_error,46.14,0.326956,0.44637,2.365376,0.129865,0.122123,0.603183,0.042875,0.046185,0.354543,3.78,0.064141,9192.49
227,127,711,0,0,0,tilt_error,46.51,0.393313,0.461536,1.973786,0.154915,0.121304,0.603239,0.051414,0.047268,0.361705,3.76,0.074148,6918.61
228,128,702,0,0,0,tilt_error,46.19,0.315292,0.465878,2.292476,0.114262,0.131614,0.591835,0.03743,0.047544,0.353379,3.79,0.056836,9479.32
229,129,704,0,0,0,tilt_error,46.47,0.323641,0.450635,2.230856,0.105605,0.122863,0.568515,0.036567,0.049307,0.364494,3.79,0.065596,9590.68
230,130,704,0,0,0,tilt_error,46.51,0.304916,0.441901,2.14569,0.109426,0.128003,0.560485,0.036991,0.049784,0.372047,3.79,0.058065,9596.52
231,131,707,0,0,0,tilt_error,46.57,0.353764,0.459039,2.331629,0.124082,0.13828,1.57,0.041881,0.049385,0.370564,3.78,0.062383,8214.21
233,132,718,0,0,0,heading_error,47.93,0.259267,0.411193,3.582484,0.102976,0.156639,1.036192,0.03486,0.046751,0.211743,3.79,0.053576,11340.14
235,133,741,0,0,0,tilt_error,51.42,0.388802,0.52264,2.473899,0.146741,0.170469,0.802548,0.045814,0.04923,0.363951,3.78,0.066496,8097.56
236,134,705,0,0,0,tilt_error,46.42,0.319843,0.424719,2.283995,0.114176,0.127374,0.54303,0.039133,0.048544,0.363482,3.78,0.061373,9152.03
237,135,702,0,0,0,tilt_error,45.87,0.338036,0.437114,2.148486,0.117659,0.125359,0.545219,0.039523,0.047097,0.35553,3.78,0.061971,8447.83
238,136,705,0,0,0,tilt_error,46.46,0.332069,0.436202,2.175459,0.111952,0.125425,0.510687,0.039006,0.048716,0.373167,3.78,0.060676,8920.38
239,137,706,0,0,0,tilt_error,46.37,0.37892,0.498624,2.132505,0.120729,0.133221,0.53399,0.03981,0.048031,0.352513,3.78,0.060439,8367.02
240,138,701,0,0,0,tilt_error,46.22,0.251115,0.40792,2.230924,0.094057,0.13624,1.57,0.032569,0.049556,0.373789,3.79,0.054326,11043.89
244,139,744,0,0,0,tilt_error,51.93,0.371437,0.595409,3.741988,0.123033,0.189718,1.002115,0.037834,0.051651,0.364231,3.79,0.060441,9978.35
245,140,719,0,0,0,heading_error,48.32,0.293284,0.421151,2.285381,0.111993,0.154321,1.025399,0.035108,0.038814,0.172041,3.79,0.060909,10020.13
246,141,740,0,0,0,tilt_error,51.51,0.424782,0.554525,2.403491,0.147606,0.166047,0.793761,0.045136,0.047546,0.358552,3.79,0.065947,7773.11
247,142,134,0,0,0,tilt_error,3.73,1.064444,0.751965,3.726136,0.328229,0.246698,0.775164,0.116145,0.072115,0.36295,3.33,0.096965,-1289.84
249,143,721,0,0,0,heading_error,48.51,0.328393,0.404459,2.172336,0.119128,0.150009,1.013973,0.038077,0.038952,0.173012,3.79,0.062518,9660.71
250,144,725,0,0,0,heading_error,48.58,0.409991,0.531231,2.286654,0.144109,0.165091,1.027592,0.041504,0.036826,0.171563,3.78,0.063846,7962.95
251,145,720,0,0,0,heading_error,48.5,0.326982,0.403442,2.230891,0.117855,0.148317,1.00916,0.037372,0.03723,0.172769,3.79,0.060233,9874.14
252,146,723,0,0,0,tilt_error,48.47,0.399111,0.531697,2.158159,0.124613,0.152825,1.043602,0.043423,0.049585,0.355551,3.78,0.062892,8978.86
253,147,745,0,0,0,tilt_error,51.9,0.456457,0.6518,3.784762,0.139856,0.186681,1.021925,0.043686,0.048543,0.362801,3.79,0.063739,8538.5
254,148,743,0,0,0,tilt_error,53.22,0.289315,0.381862,2.161126,0.108078,0.130473,0.684045,0.038881,0.04742,0.354778,3.79,0.061761,10982.55
255,149,735,0,0,0,tilt_error,51.96,0.301775,0.379569,2.10827,0.10829,0.129724,0.625476,0.038458,0.046861,0.368201,3.8,0.063116,10714.54
